<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20200525,96.2,97.1,96,97.1,216400,96.2,97.1,96,97.1,4000000,4052830,4034830
VIC,20200522,98,98,96.4,96.4,292930,98,98,96.4,96.4,0,33250,62040
VIC,20200521,97,98,96.9,98,674380,97,98,96.9,98,300030,18980,264610
VIC,20200520,96.4,97,96.1,96.6,254730,96.4,97,96.1,96.6,0,21420,96120
VIC,20200519,97.1,97.4,96,96.5,729850,97.1,97.4,96,96.5,14000000,119370,367130
VIC,20200518,97,97,95.5,96.5,229440,97,97,95.5,96.5,532000,61340,68500
VIC,20200515,96,97.5,95.8,97,327650,96,97.5,95.8,97,799380,69140,160430
VIC,20200514,95,96.7,93.9,96,1002810,95,96.7,93.9,96,700000,243290,682110
VIC,20200513,95.1,96,91.5,95,2652530,95.1,96,91.5,95,0,455700,1753750
VIC,20200512,97.4,97.4,95,97,770030,97.4,97.4,95,97,83000,95870,595660
VIC,20200511,97.5,98,95.9,97.5,1358920,97.5,98,95.9,97.5,1535000,0,0
VIC,20200508,96.4,100,96.1,97.5,1683960,96.4,100,96.1,97.5,0,153050,389090
VIC,20200507,95,96,94,96,617800,95,96,94,96,0,153050,389090
VIC,20200506,92.6,95,92.5,95,773570,92.6,95,92.5,95,0,143550,139740
VIC,20200505,91.8,93,91.8,92.7,274700,91.8,93,91.8,92.7,0,143550,139740
VIC,20200504,91.9,92.5,90,91.8,259550,91.9,92.5,90,91.8,0,118660,173750
VIC,20200429,91.9,93.4,90.5,91.9,314400,91.9,93.4,90.5,91.9,0,80180,156910
VIC,20200428,92.5,92.9,91.5,92,222920,92.5,92.9,91.5,92,50000,80180,156910
VIC,20200427,95,95,92,92,453720,95,95,92,92,0,253670,156600
VIC,20200424,93,93.9,92.4,93,300240,93,93.9,92.4,93,0,106730,220200
VIC,20200423,93,94.9,92.7,93,347420,93,94.9,92.7,93,0,108130,158250
VIC,20200422,92,92.8,90.5,92.5,884070,92,92.8,90.5,92.5,0,337200,567940
VIC,20200421,95.5,95.5,92.5,93,892270,95.5,95.5,92.5,93,0,193720,537550
VIC,20200420,96.1,96.4,94.9,96.2,1055020,96.1,96.4,94.9,96.2,0,18750,704890
VIC,20200417,96.1,96.1,89.2,96.1,1191510,96.1,96.1,89.2,96.1,0,320470,742420
VIC,20200416,95.9,96,94.7,95.9,845580,95.9,96,94.7,95.9,0,17940,1004740
VIC,20200415,95.6,96,94.9,96,1176850,95.6,96,94.9,96,1567000,17940,1004740
VIC,20200414,96.5,96.5,94.5,95.6,631630,96.5,96.5,94.5,95.6,100000,301360,1175350
VIC,20200413,95.8,96,94.9,96,1411550,95.8,96,94.9,96,1627000,301360,1175350
VIC,20200410,96,96.8,93.7,95,983120,96,96.8,93.7,95,249000,12330,770490
VIC,20200409,94,97.3,93.8,96,1560610,94,97.3,93.8,96,0,90080,635620
VIC,20200408,97,97,94,94,760120,97,97,94,94,250000,90080,635620
VIC,20200407,97.6,100.9,93,97.3,2855700,97.6,100.9,93,97.3,0,26930,2263330
VIC,20200406,92,97.3,91.3,97.3,2698260,92,97.3,91.3,97.3,0,26930,2263330
VIC,20200403,86,91,86,91,1184500,86,91,86,91,100000,152330,852790
VIC,20200401,82.5,87,81,86,437820,82.5,87,81,86,296000,77340,244360
VIC,20200331,81.4,87,80.4,83.4,1296450,81.4,87,80.4,83.4,267000,85570,959800
VIC,20200330,80.8,82,80.8,81.4,881240,80.8,82,80.8,81.4,303270,337820,256850
VIC,20200327,82,87.4,79.5,86.8,1149310,82,87.4,79.5,86.8,58000,407140,477440
VIC,20200326,77.6,81.8,75.6,81.8,1242250,77.6,81.8,75.6,81.8,275000,642580,203630
VIC,20200325,71.5,76.5,68,76.5,1401570,71.5,76.5,68,76.5,4586000,540820,465890
VIC,20200324,71.8,75,71.5,71.5,1474050,71.8,75,71.5,71.5,1588105,874980,1003630
VIC,20200323,78,78.3,76.8,76.8,678160,78,78.3,76.8,76.8,898650,486150,376400
VIC,20200320,88.7,88.7,82.5,82.5,1083480,88.7,88.7,82.5,82.5,927160,252180,760950
VIC,20200319,86.9,88.7,83.1,88.7,1103680,86.9,88.7,83.1,88.7,876500,110870,502750
VIC,20200318,87.9,90,86.5,89,785390,87.9,90,86.5,89,0,110870,502750
VIC,20200317,89.5,92.3,87.6,88.5,681330,89.5,92.3,87.6,88.5,0,100280,566790
VIC,20200316,92,92.5,86.6,92.5,971340,92,92.5,86.6,92.5,0,100280,566790
VIC,20200313,86,92.5,85.4,92.5,1226880,86,92.5,85.4,92.5,41000,584660,1536370
VIC,20200312,91,92.3,90.3,91.8,1896270,91,92.3,90.3,91.8,0,349220,478590
VIC,20200311,98,98,91.1,97,1049580,98,98,91.1,97,0,298220,543850
VIC,20200310,93,99.2,91.2,97.7,825490,93,99.2,91.2,97.7,0,298220,543850
VIC,20200309,101.5,102,97.7,97.7,966890,101.5,102,97.7,97.7,147700,140030,726540
VIC,20200306,105,105,103.1,105,750830,105,105,103.1,105,0,205100,433110
VIC,20200305,105.1,105.9,103.8,105.6,352300,105.1,105.9,103.8,105.6,0,181230,320590
