<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIP,20200306,4.7,4.7,4.6,4.61,2540,5.14,5.14,5.03,5.04,0,0,0
VIP,20200305,4.71,4.71,4.59,4.7,6420,5.15,5.15,5.02,5.14,0,0,0
VIP,20200304,4.72,4.72,4.67,4.71,4570,5.16,5.16,5.1,5.15,0,0,16000
VIP,20200303,4.58,4.66,4.58,4.62,29600,5.01,5.1,5.01,5.05,0,0,0
VIP,20200302,4.66,4.66,4.58,4.66,21180,5.1,5.1,5.01,5.1,0,0,0
VIP,20200228,4.66,4.83,4.66,4.66,10170,5.1,5.29,5.1,5.1,0,0,0
VIP,20200227,4.66,4.75,4.66,4.74,3960,5.1,5.2,5.1,5.19,0,100,100
VIP,20200226,4.61,4.74,4.59,4.7,21700,5.04,5.19,5.02,5.14,0,0,0
VIP,20200225,4.55,4.8,4.53,4.66,36960,4.98,5.25,4.95,5.1,0,100,0
VIP,20200224,4.67,4.67,4.44,4.59,88260,5.11,5.11,4.85,5.02,0,100,0
VIP,20200221,4.76,4.82,4.67,4.71,52280,5.2,5.27,5.1,5.15,0,100,0
VIP,20200220,4.68,4.84,4.68,4.84,7830,5.12,5.3,5.12,5.29,0,0,7420
VIP,20200219,4.68,4.89,4.68,4.73,77760,5.12,5.35,5.12,5.18,0,0,7420
VIP,20200218,5.05,5.05,4.79,4.8,115640,5.53,5.53,5.25,5.25,0,100,100
VIP,20200217,5.21,5.26,5.05,5.05,44700,5.7,5.76,5.53,5.53,0,1000,0
VIP,20200214,4.73,5.06,4.73,5.06,212610,5.18,5.54,5.18,5.54,0,0,0
VIP,20200213,4.63,4.75,4.63,4.73,166830,5.07,5.2,5.07,5.18,0,0,3200
VIP,20200212,4.61,4.7,4.61,4.68,38170,5.05,5.14,5.04,5.12,0,0,0
VIP,20200211,4.64,4.66,4.57,4.66,53710,5.08,5.1,5,5.1,0,0,0
VIP,20200210,4.66,4.66,4.61,4.64,7240,5.1,5.1,5.05,5.08,0,0,0
VIP,20200207,4.61,4.66,4.6,4.64,14210,5.05,5.1,5.04,5.08,0,0,0
VIP,20200206,4.62,4.62,4.52,4.52,4720,5.05,5.05,4.94,4.95,0,0,0
VIP,20200205,4.57,4.57,4.48,4.49,23820,5,5,4.9,4.91,0,5000,0
VIP,20200204,4.48,4.53,4.48,4.48,18280,4.9,4.95,4.9,4.9,0,0,0
VIP,20200203,4.48,4.48,4.36,4.48,102770,4.9,4.9,4.77,4.9,0,0,0
VIP,20200131,4.66,4.7,4.66,4.68,52880,5.1,5.14,5.1,5.12,0,0,0
VIP,20200130,4.67,4.67,4.62,4.66,54440,5.1,5.11,5.05,5.1,0,0,0
VIP,20200122,4.62,4.67,4.62,4.62,13360,5.05,5.1,5.05,5.05,0,0,0
VIP,20200121,4.55,4.62,4.55,4.62,23990,4.98,5.06,4.98,5.05,0,0,0
VIP,20200120,4.54,4.55,4.53,4.55,17210,4.97,4.98,4.96,4.98,0,0,0
VIP,20200117,4.56,4.56,4.52,4.54,7100,4.99,4.99,4.95,4.97,0,0,0
VIP,20200116,4.48,4.56,4.47,4.52,43710,4.9,4.99,4.89,4.95,0,0,30910
VIP,20200115,4.48,4.54,4.47,4.54,67990,4.9,4.97,4.89,4.97,0,0,0
VIP,20200114,4.46,4.56,4.46,4.55,3220,4.88,4.99,4.88,4.98,0,0,0
VIP,20200113,4.57,4.57,4.49,4.56,7320,5,5,4.91,4.99,0,0,0
VIP,20200110,4.57,4.57,4.52,4.57,15610,5,5,4.95,5,0,0,0
VIP,20200109,4.57,4.57,4.57,4.57,5210,5,5,5,5,0,0,0
VIP,20200108,4.57,4.57,4.45,4.57,27860,5,5,4.87,5,0,0,0
VIP,20200107,4.57,4.57,4.57,4.57,10400,5,5,5,5,0,0,0
VIP,20200106,4.57,4.57,4.52,4.57,21010,5,5,4.95,5,0,19000,0
VIP,20200103,4.48,4.57,4.48,4.55,4930,4.9,5,4.9,4.98,0,1000,0
VIP,20200102,4.48,4.53,4.46,4.53,1510,4.9,4.96,4.88,4.96,0,0,0
VIP,20191231,4.53,4.53,4.48,4.53,1400,4.96,4.96,4.9,4.96,0,0,0
VIP,20191230,4.52,4.53,4.44,4.53,5770,4.95,4.96,4.86,4.96,0,0,0
VIP,20191227,4.48,4.57,4.48,4.55,5740,4.9,5,4.9,4.98,0,0,360
VIP,20191226,4.58,4.58,4.48,4.57,10610,5.01,5.01,4.9,5,0,0,0
VIP,20191225,4.58,4.58,4.46,4.58,25800,5.01,5.01,4.88,5.01,0,0,7780
VIP,20191224,4.59,4.59,4.49,4.58,19310,5.02,5.02,4.91,5.01,0,0,0
